0-0,-7.22588,-6.18878,26.9001,3.03,-7.12833,-6.21534,26.6313
0-0,-7.12833,-6.21534,26.6313,3.04,-7.04344,-6.25934,26.3665
0-0,-7.04344,-6.25934,26.3665,3.05,-6.97163,-6.32,26.1075
0-0,-6.97163,-6.32,26.1075,3.06,-6.9132,-6.39657,25.8559
0-0,-6.9132,-6.39657,25.8559,3.07,-6.86836,-6.48828,25.6134
0-0,-6.86836,-6.48828,25.6134,3.08,-6.83721,-6.5944,25.3816
0-0,-6.83721,-6.5944,25.3816,3.09,-6.81979,-6.7142,25.162
0-0,-6.81979,-6.7142,25.162,3.1,-6.81607,-6.84697,24.9559
0-0,-6.81607,-6.84697,24.9559,3.11,-6.82593,-6.992,24.7648
0-0,-6.82593,-6.992,24.7648,3.12,-6.84922,-7.14855,24.5901
0-0,-6.84922,-7.14855,24.5901,3.13,-6.88571,-7.31587,24.433
0-0,-6.88571,-7.31587,24.433,3.14,-6.93515,-7.49318,24.2949
0-0,-6.93515,-7.49318,24.2949,3.15,-6.9972,-7.67962,24.177
0-0,-6.9972,-7.67962,24.177,3.16,-7.0715,-7.87426,24.0806
0-0,-7.0715,-7.87426,24.0806,3.17,-7.1576,-8.0761,24.0068
0-0,-7.1576,-8.0761,24.0068,3.18,-7.25502,-8.28398,23.9567
0-0,-7.25502,-8.28398,23.9567,3.19,-7.3632,-8.49665,23.9314
0-0,-7.3632,-8.49665,23.9314,3.2,-7.48149,-8.7127,23.9319
0-0,-7.48149,-8.7127,23.9319,3.21,-7.60918,-8.93055,23.959
0-0,-7.60918,-8.93055,23.959,3.22,-7.74548,-9.14845,24.0134
0-0,-7.74548,-9.14845,24.0134,3.23,-7.88946,-9.36447,24.0956
0-0,-7.88946,-9.36447,24.0956,3.24,-8.04012,-9.57649,24.206
0-0,-8.04012,-9.57649,24.206,3.25,-8.19634,-9.78224,24.3445
0-0,-8.19634,-9.78224,24.3445,3.26,-8.35687,-9.97924,24.511
0-0,-8.35687,-9.97924,24.511,3.27,-8.52034,-10.1649,24.7049
0-0,-8.52034,-10.1649,24.7049,3.28,-8.68526,-10.3365,24.9252
0-0,-8.68526,-10.3365,24.9252,3.29,-8.85004,-10.4913,25.1706
0-0,-8.85004,-10.4913,25.1706,3.3,-9.01294,-10.6266,25.4391
0-0,-9.01294,-10.6266,25.4391,3.31,-9.17215,-10.7396,25.7285
0-0,-9.17215,-10.7396,25.7285,3.32,-9.32578,-10.8277,26.036
0-0,-9.32578,-10.8277,26.036,3.33,-9.47187,-10.8886,26.3583
0-0,-9.47187,-10.8886,26.3583,3.34,-9.60846,-10.9203,26.6916
0-0,-9.60846,-10.9203,26.6916,3.35,-9.73359,-10.9212,27.0318
0-0,-9.73359,-10.9212,27.0318,3.36,-9.84536,-10.8901,27.3744
0-0,-9.84536,-10.8901,27.3744,3.37,-9.94195,-10.8265,27.7145
0-0,-9.94195,-10.8265,27.7145,3.38,-10.0217,-10.7304,28.0473
0-0,-10.0217,-10.7304,28.0473,3.39,-10.0832,-10.6027,28.3678
0-0,-10.0832,-10.6027,28.3678,3.4,-10.1253,-10.4448,28.671
